chr1	700000	2350000
chr1	2350000	6000000
chr1	6000000	6700000
chr1	6700000	8000000
chr1	8000000	10500000
chr1	10500000	11050000
chr1	11050000	12350000
chr1	12350000	15850000
chr1	15850000	16800000
chr1	16800000	17300000
chr1	17300000	19200000
chr1	19200000	19650000
chr1	19650000	20000000
chr1	20200000	20850000
chr1	21000000	21550000
chr1	21550000	22000000
chr1	22000000	22400000
chr1	22400000	23000000
chr1	23000000	23300000
chr1	23300000	26800000
chr1	26800000	27250000
chr1	27250000	28000000
chr1	28000000	29550000
chr1	29550000	31200000
chr1	31200000	33950000
chr1	33950000	35200000
chr1	35200000	36550000
chr1	36550000	36950000
chr1	36950000	39300000
chr1	39500000	40500000
chr1	40500000	40950000
chr1	40950000	43200000
chr1	43200000	44450000
chr1	44450000	45150000
chr1	45150000	46050000
chr1	46050000	46800000
chr1	46800000	47200000
chr1	47200000	51200000
chr1	51200000	51750000
chr1	51750000	55500000
chr1	55500000	57300000
chr1	57300000	58950000
chr1	59150000	60300000
chr1	60450000	62900000
chr1	62900000	63300000
chr1	63300000	64000000
chr1	64000000	64750000
chr1	64750000	65300000
chr1	65500000	66950000
chr1	66950000	67200000
chr1	67200000	68000000
chr1	68000000	69000000
chr1	69000000	70250000
chr1	70250000	71000000
chr1	71000000	71550000
chr1	71550000	75200000
chr1	75200000	75700000
chr1	75700000	77600000
chr1	77600000	78600000
chr1	78600000	79150000
chr1	79300000	79700000
chr1	79700000	79950000
chr1	79950000	80650000
chr1	80650000	84350000
chr1	84350000	85750000
chr1	85750000	86800000
chr1	86800000	87150000
chr1	87150000	87550000
chr1	87550000	89050000
chr1	89050000	89400000
chr1	89400000	91950000
chr1	91950000	92400000
chr1	92400000	92750000
chr1	92750000	95550000
chr1	95750000	99000000
chr1	99200000	100200000
chr1	100200000	101850000
chr1	102000000	103500000
chr1	103500000	104100000
chr1	104300000	108300000
chr1	108300000	108650000
chr1	108650000	110600000
chr1	110600000	111050000
chr1	111050000	112900000
chr1	112900000	113250000
chr1	113250000	113650000
chr1	113650000	114250000
chr1	114250000	114500000
chr1	114500000	115300000
chr1	115500000	116300000
chr1	116300000	117150000
chr1	117150000	117600000
chr1	117600000	118500000
chr1	118500000	120050000
chr1	120050000	120700000
chr1	120700000	121500000
chr1	144800000	145850000
chr1	146450000	147450000
